"Delphinus delphis","Early Pleistocene"
"n. gen. Australodelphis n. sp. mirus","Zanclean"
"Pseudorca n. sp. yokoyamai","Calabrian"
"Pseudorca yokoyamai","Pliocene"
"""Steno"" cudmorei","Messinian"
"Tursiops n. sp. miocaenus","Burdigalian"
"""Delphinus"" n. sp. rikuzenensis","Early Pliocene"
"Tursiops n. sp. oligodon","Messinian"
"Orca citoniensis","Gelasian"
"Globicephalus uncidens","Gelasian"
"Tursiops cortesii","Pliocene"
"Tursiops brocchii","Pliocene"
"Steno bellardii","Piacenzian"
"Tursiops cortesii","Pliocene"
"Tursiops n. sp. osennae","Calabrian"
"cf. Delphinus uncidens","Serravallian"
"Tursiops cf. miocaenus","Serravallian"
"Tursiops cortesii","Pliocene"
"Hemisyntrachelus n. sp. pisanus","Piacenzian"
"Stenella giulii","Piacenzian"
"Steno bellardii","Piacenzian"
"Tursiops cortesii","Piacenzian"
"Globicephala n. sp. etruriae","Piacenzian"
"Orca n. sp. paleorca","Calabrian"
"n. gen. Astadelphis gastaldii","Piacenzian"
"Astadelphis gastaldii","Zanclean"
"Stenella giulii","Pliocene"
"n. gen. Hemisyntrachelus n. sp. cortesii","Pliocene"
"Orcinus citoniensis","Pliocene"
"Lagenorhynchus acutus","Gelasian"
"Delphinus aff. delphis","Waipipian"
"Tursiops cortesii","Miocene"
"Orca n. sp. citoniensis","Piacenzian"
"Lagenorhynchus obliquidens","Holocene"
"Delphinus delphis","Holocene"
"Tursiops truncatus","Holocene"
"Pseudorca crassidens","Holocene"
"Globicephala macrorhynchus","Holocene"
"Grampus griseus","Holocene"
"Tursiops cortesii","Pliocene"
"Grampus griseus","Neogene"
"Delphinus delphis","Holocene"
"Tursiops truncatus","Holocene"
"Tursiops capellinii","Piacenzian"
"Hemisyntrachelus cortesii","Piacenzian"
"Delphinus delphis","Pliocene"
"n. gen. Arimidelphis n. sp. sorbinii","Piacenzian"
"Globicephalus n. sp. baereckeii","Calabrian"
"Phocaena n. sp. crassidens","Late Pleistocene"
"Tursiops cortesii","Pliocene"
"Tursiops cf. truncatus","Pleistocene"
"Delphinus n. sp. karsteni","Neogene"
"Tursiops n. sp. capellinii","Zanclean"
"Orcaella brevirostris","Holocene"
"Steno bredanensis","Holocene"
"Stenella longirostris","Holocene"
"Sotalia guianensis","Holocene"
"Delphinus delphis","Gelasian"
"Globicephala macrorhynchus","Late Pleistocene"
"Tursiops tursio","Pleistocene"
"Pseudorca crassidens","Holocene"
"Tursiops truncatus","Holocene"
"Stenella n. sp. kabatensis","Late Miocene"
"Orcinus orca","Early Pliocene"
"Grampus griseus","Early Pliocene"
"Orca paleorca","Early Pleistocene"
"Pseudorca yokoyamai","Early Pleistocene"
"Pseudorca yokoyamai","Early Pleistocene"
"Stenella longirostris","Holocene"
"Delphinus brocchii","Piacenzian"
"Lagenorhynchus n. sp. harmatuki","Zanclean"
"Stenella n. sp. rayi","Zanclean"
"Pseudorca crassidens","Rancholabrean"
"cf. Orcinus orca","Holocene"
"Globicephala macrorhyncha","Pleistocene"
"Sousa chinensis","Holocene"
"Tursiops aduncus","Holocene"
"Orcinus orca","Holocene"
"Lagenorhynchus obliquidens","Holocene"
"Peponocephala electra","Holocene"
"Peponocephala electra","Holocene"
"Lagenodelphis hosei","Holocene"
"Feresa attenuata","Holocene"
"Cephalorhynchus commersoni","Holocene"
"Tursiops truncatus","Calabrian"
"Tursiops aduncus","Holocene"
"Globicephala macrorhynchus","Holocene"
"Globicephala macrorhynchus","Holocene"
"Globicephala macrorhynchus","Holocene"
"Stenella longirostris","Holocene"
"Stenella longirostris","Holocene"
"Lissodelphis n. sp. peronii","Holocene"
"Lissodelphis n. sp. borealis","Holocene"
"Delphinus n. sp. cortesii","Zanclean"
"Delphinus n. sp. brocchii","Piacenzian"
"Tursiops cortesii","Zanclean"
"Tursiops cortesii","Zanclean"
"Tursiops cortesii","Pliocene"
"Tursiops cortesii","Piacenzian"
"Delphinus n. sp. domeykoi","Zanclean"
"Orca gladiator","Early Pleistocene"
"Pseudorca crassidens","Middle Pleistocene"
"Tursiops tursio","Early Pleistocene"
"Tursiops cortesii","Piacenzian"
"Delphinus n. sp. guianensis","Holocene"
"Sotalia n. sp. brasiliensis","Holocene"
"Sotalia n. sp. borneensis","Holocene"
"Sotalia n. sp. chinensis","Holocene"
"Delphinus n. sp. fluviatilis","Holocene"
"Delphinus (Steno) n. sp. lentiginosus","Holocene"
"Sotalia n. sp. teuszii","Holocene"
"Delphinus n. sp. plumbeus","Holocene"
"Delphinus n. sp. coeruleoalbus","Holocene"
"Delphinus n. sp. frontalis","Holocene"
"Prodelphinus n. sp. graffmani","Holocene"
"Stenella n. sp. pernettyi","Holocene"
"Delphinus n. sp. aduncus","Holocene"
"Delphinus n. sp. truncatus","Holocene"
"Tursiops n. sp. gilli","Holocene"
"Lagenodelphis n. sp. hosei","Holocene"
"Delphinus n. sp. tursio","Holocene"
"Lagenorhynchus n. sp. obliquidens","Holocene"
"Delphinus n. sp. eutropia","Holocene"
"Delphinus (Grampus) n. sp. heavisidei","Holocene"
"Orca (Orcaella) n. sp. brevirostris","Holocene"
"Delphinus n. sp. griseus","Holocene"
"Delphinus n. sp. melas","Holocene"
"Delphinus n. sp. globiceps","Holocene"
"Delphinus aff. delphis","Waipipian"
"Delphinus delphis","Late Pleistocene"
"Tursiops truncatus","Late Pleistocene"
"Orcinus orca","Holocene"
"n. gen. Protoglobicephala n. sp. mexicana","Piacenzian"
"n. gen. Etruridelphis giulii","Zanclean"
"Globicephala melas","Late Pleistocene"
"Delphinus domeykoi","Middle Miocene"
"n. gen. Platalearostrum n. sp. hoekmani","Late Pliocene"
"Orcinus orca","Late Pleistocene"
"Orcaella n. sp. heinsohni","Holocene"
"Orcaella heinsohni","Holocene"
"Orcaella heinsohni","Holocene"
"Delphinus delphis","Pliocene"
"Eudelphinus compressus","Pliocene"
"Astadelphis gastaldii","Zanclean"
"Astadelphis gastaldii","Zanclean"
"Leucopleurus acutus","Holocene"
"n. gen. Septidelphis n. sp. morii","Zanclean"
"Pseudorca n. sp. yuanliensis","Piacenzian"
"Tursiops maugeanus","Holocene"
"Delphinus (Phocaena) n. sp. uncidens","Late Pliocene"
"Sousa n. sp. sahulensis","Holocene"
"Orcinus orca","Holocene"
"Tursiops truncatus","Holocene"
"Orcinus orca","Holocene"
"Orcinus orca","Holocene"
"Lagenorhynchus albirostris","Holocene"
"Orcinus orca","Holocene"
"Cephalorhynchus eutropia","Holocene"
"Cephalorhynchus heavisidii","Holocene"
"Steno bredanensis","Holocene"
"Steno bredanensis","Holocene"
"Steno bredanensis","Holocene"
"Steno bredanensis","Holocene"
"Steno bredanensis","Holocene"
"Steno bredanensis","Holocene"
"Steno bredanensis","Holocene"
"Steno bredanensis","Holocene"
"Steno bredanensis","Holocene"
"Steno bredanensis","Holocene"
"Sousa teuszii","Holocene"
"Tursiops truncatus","Holocene"
"Tursiops truncatus","Holocene"
"Tursiops truncatus","Holocene"
"Tursiops truncatus","Holocene"
"Tursiops truncatus","Holocene"
"Stenella attenuata","Holocene"
"Stenella attenuata","Holocene"
"Stenella attenuata","Holocene"
"Stenella attenuata","Holocene"
"Stenella attenuata","Holocene"
"Stenella attenuata","Holocene"
"Delphinus delphis","Holocene"
"Delphinus delphis","Holocene"
"Delphinus delphis","Holocene"
"Delphinus delphis","Holocene"
"Delphinus delphis","Holocene"
"Delphinus delphis","Holocene"
"Delphinus delphis","Holocene"
"Lagenodelphis hosei","Holocene"
"Lagenodelphis hosei","Holocene"
"Lagenodelphis hosei","Holocene"
"Lagenodelphis hosei","Holocene"
"Lagenodelphis hosei","Holocene"
"Lagenodelphis hosei","Holocene"
"Lagenodelphis hosei","Holocene"
"Lagenodelphis hosei","Holocene"
"Lagenodelphis hosei","Holocene"
"Lagenodelphis hosei","Holocene"
"Lagenorhynchus albirostris","Holocene"
"Lagenorhynchus albirostris","Holocene"
"Lagenorhynchus albirostris","Holocene"
"Lagenorhynchus australis","Holocene"
"Lagenorhynchus australis","Holocene"
"Lagenorhynchus australis","Holocene"
"Lagenorhynchus obliquidens","Holocene"
"Lagenorhynchus obliquidens","Holocene"
"Lagenorhynchus cruciger","Holocene"
"Lagenorhynchus cruciger","Holocene"
"Lissodelphis peronii","Holocene"
"Lissodelphis peronii","Holocene"
"Lissodelphis peronii","Holocene"
"Lissodelphis peronii","Holocene"
"Lissodelphis peronii","Holocene"
"Lissodelphis peronii","Holocene"
"Lissodelphis borealis","Holocene"
"Lissodelphis borealis","Holocene"
"Grampus griseus","Holocene"
"Grampus griseus","Holocene"
"Grampus griseus","Holocene"
"Grampus griseus","Holocene"
"Grampus griseus","Holocene"
"Grampus griseus","Holocene"
"Grampus griseus","Holocene"
"Grampus griseus","Holocene"
"Grampus griseus","Holocene"
"Grampus griseus","Holocene"
"Grampus griseus","Holocene"
"Peponocephala electra","Holocene"
"Peponocephala electra","Holocene"
"Peponocephala electra","Holocene"
"Peponocephala electra","Holocene"
"Peponocephala electra","Holocene"
"Peponocephala electra","Holocene"
"Peponocephala electra","Holocene"
"Peponocephala electra","Holocene"
"Peponocephala electra","Holocene"
"Peponocephala electra","Holocene"
"Feresa attenuata","Holocene"
"Feresa attenuata","Holocene"
"Feresa attenuata","Holocene"
"Feresa attenuata","Holocene"
"Feresa attenuata","Holocene"
"Feresa attenuata","Holocene"
"Feresa attenuata","Holocene"
"Feresa attenuata","Holocene"
"Feresa attenuata","Holocene"
"Feresa attenuata","Holocene"
"Pseudorca crassidens","Holocene"
"Pseudorca crassidens","Holocene"
"Pseudorca crassidens","Holocene"
"Pseudorca crassidens","Holocene"
"Pseudorca crassidens","Holocene"
"Pseudorca crassidens","Holocene"
"Pseudorca crassidens","Holocene"
"Pseudorca crassidens","Holocene"
"Pseudorca crassidens","Holocene"
"Pseudorca crassidens","Holocene"
"Pseudorca crassidens","Holocene"
"Orcinus orca","Holocene"
"Orcinus orca","Holocene"
"Orcinus orca","Holocene"
"Orcinus orca","Holocene"
"Orcinus orca","Holocene"
"Orcinus orca","Holocene"
"Orcinus orca","Holocene"
"Orcinus orca","Holocene"
"Orcinus orca","Holocene"
"Orcinus orca","Holocene"
"Orcinus orca","Holocene"
"Orcinus orca","Holocene"
"Orcinus orca","Holocene"
"Globicephala melas","Holocene"
"Globicephala melas","Holocene"
"Globicephala melas","Holocene"
"Globicephala macrorhynchus","Holocene"
"Globicephala macrorhynchus","Holocene"
"Globicephala macrorhynchus","Holocene"
"Globicephala macrorhynchus","Holocene"
"Globicephala macrorhynchus","Holocene"
"Globicephala macrorhynchus","Holocene"
"Globicephala macrorhynchus","Holocene"
"Globicephala macrorhynchus","Holocene"
"Globicephala macrorhynchus","Holocene"
"Globicephala macrorhynchus","Holocene"
"Orcaella brevirostris","Holocene"
"Orcaella brevirostris","Holocene"
"Orcaella brevirostris","Holocene"
"Delphinus delphis","Holocene"
"Grampus griseus","Holocene"
"Orcinus orca","Holocene"
"Delphinus delphis","Holocene"
"Tursiops truncatus","Holocene"
