Species,Status,Minimum age,Maximum age
Balaenoptera borealis,Extant,0.0117,0
Balaenoptera borealis,Extant,0.126,0.0117
Balaenoptera borealis,Extant,15.97,11.608
Balaenoptera borealis,Extant,2.588,0.781
Balaenoptera borealis,Extant,3.6,2.588
Cephalorhynchus commersoni,Extant,0.0117,0
Cephalorhynchus eutropia,Extant,0.0117,0
Cephalorhynchus heavisidii,Extant,0.0117,0
Crenatocetus rayi,Extant,48.6,37.2
Delphinus delphis,Extant,0.0117,0
Delphinus delphis,Extant,0.126,0.0117
Delphinus delphis,Extant,2.588,0.781
Delphinus delphis,Extant,2.588,1.806
Delphinus delphis,Extant,3.6,3
Delphinus delphis,Extant,5.333,2.588
Delphinus domeykoi,Extant,15.97,2.588
Delphinus domeykoi,Extant,5.333,3.6
Delphinus rikuzenensis,Extant,5.333,3.6
Eurhinodelphis longirostris,Extant,11.608,2.588
Eurhinodelphis longirostris,Extant,11.608,5.333
Eurhinodelphis longirostris,Extant,11.62,7.246
Eurhinodelphis longirostris,Extant,13.82,11.62
Eurhinodelphis longirostris,Extant,15.97,11.62
Eurhinodelphis longirostris,Extant,15.97,13.82
Eurhinodelphis longirostris,Extant,20.44,5.333
Eurhinodelphis longirostris,Extant,23.03,5.333
Inia araguaiaensis,Extant,0.0117,0
Inia geoffrensis,Extant,0.0117,0
Kentriodon diusinus,Extant,15.97,13.82
Kentriodon fuchsii,Extant,11.608,5.333
Kentriodon fuchsii,Extant,12.7,11.608
Kentriodon fuchsii,Extant,12.75,11.1
Kentriodon fuchsii,Extant,13.82,11.62
Kentriodon fuchsii,Extant,15.97,13.82
Kentriodon hobetsu,Extant,15.97,11.608
Kentriodon hoepfneri,Extant,13.82,11.62
Kentriodon obscurus,Extant,15.97,13.82
Kentriodon pernix,Extant,15.97,13.82
Kentriodon pernix,Extant,19,15.9
Kentriodon pernix,Extant,20.44,15.97
Kentriodon pernix,Extant,23.03,20.44
Kentriodon schneideri,Extant,13.82,11.62
Kogia breviceps,Extant,0.0117,0
Kogia breviceps,Extant,3.6,2.588
Kogia breviceps,Extant,5.333,3.6
Kogia pusilla,Extant,3.6,2.588
Kogia sima,Extant,0.0117,0
Kogia sima,Extant,3.6,2.588
Lagenorhynchus albirostris,Extant,0.0117,0
Lagenorhynchus harmatuki,Extant,5.333,3.6
Lagenorhynchus obliquidens,Extant,0.0117,0
Lipotes vexillifer,Extant,0.0117,0
Lissodelphis borealis,Extant,0.0117,0
Lissodelphis peronii,Extant,0.0117,0
Lophocetus calvertensis,Extant,11.62,7.246
Mesocetus longirostris,Extant,13.82,11.62
Mesocetus longirostris,Extant,20.44,11.62
Mesoplodon longirostris,Extant,11.608,2.588
Mesoplodon longirostris,Extant,15.97,11.608
Mesoplodon longirostris,Extant,23.03,2.588
Mesoplodon longirostris,Extant,2.588,1.806
Mesoplodon longirostris,Extant,3.6,2.588
Mesoplodon longirostris,Extant,5.333,2.588
Mesoplodon longirostris,Extant,5.333,3.2
Mesoplodon longirostris,Extant,5.333,3.6
Messapicetus longirostris,Extant,11.62,7.246
Messapicetus longirostris,Extant,20.44,5.333
Pelocetus calvertensis,Extant,15.97,13.82
Peripolocetus vexillifer,Extant,15.97,13.82
Phocoena dioptrica,Extant,0.0117,0
Phocoena phocoena,Extant,0.0117,0
Phocoena phocoena,Extant,0.126,0.0117
Phocoena phocoena,Extant,5.333,2.588
Phocoena phocoena,Extant,5.333,3.6
Phocoena sinus,Extant,0.0117,0
Phocoena spinipinnis,Extant,0.0117,0
Phocoenoides dalli,Extant,0.0117,0
Piscolithax longirostris,Extant,7.246,5.333
Platanista gangetica,Extant,0.0117,0
Schizodelphis barnesi,Extant,15.97,13.82
Schizodelphis barnesi,Extant,20.44,15.97
Schizodelphis compressus,Extant,11.608,5.333
Schizodelphis morckhoviensis,Extant,13.65,12.7
Schizodelphis morckhoviensis,Extant,15.97,11.62
Schizodelphis planus,Extant,20.44,15.97
Schizodelphis squalodontoides,Extant,20.44,15.97
Schizodelphis sulcatus,Extant,13.65,11.1
Schizodelphis sulcatus,Extant,13.82,11.62
Schizodelphis sulcatus,Extant,15.97,11.608
Schizodelphis sulcatus,Extant,15.97,13.82
Schizodelphis sulcatus,Extant,15.97,7.246
Schizodelphis sulcatus,Extant,16.9,15.97
Schizodelphis sulcatus,Extant,20.43,15.97
Schizodelphis sulcatus,Extant,20.44,15.97
Schizodelphis sulcatus,Extant,23.03,15.97
Schizodelphis sulcatus,Extant,23.03,20.44
Schizodelphis sulcatus,Extant,23.03,2.588
Schizodelphis sulcatus,Extant,28.1,15.97
Simocetus rayi,Extant,33.9,28.1
Sotalia fluviatilis,Extant,0.0117,0
Squalodon antverpiensis,Extant,15.97,11.62
Squalodon antverpiensis,Extant,20.44,5.333
Squalodon antverpiensis,Extant,23.03,5.333
Squalodon atlanticus,Extant,15.97,0.0117
Squalodon atlanticus,Extant,15.97,13.82
Squalodon barbarus,Extant,28.1,23.03
Squalodon bariensis,Extant,15.97,11.608
Squalodon bariensis,Extant,15.97,13.82
Squalodon bariensis,Extant,20.44,15.97
Squalodon bariensis,Extant,23.03,20.44
Squalodon bellunensis,Extant,13.82,11.62
Squalodon bellunensis,Extant,20.44,15.97
Squalodon bellunensis,Extant,23.03,15.97
Squalodon bellunensis,Extant,23.03,20.44
Squalodon bellunensis,Extant,28.1,23.03
Squalodon bordae,Extant,20.44,15.97
Squalodon calvertensis,Extant,13.82,11.62
Squalodon calvertensis,Extant,15.97,13.82
Squalodon calvertensis,Extant,20.43,15.97
Squalodon calvertensis,Extant,20.44,15.97
Squalodon calvertensis,Extant,23.03,20.44
Squalodon catulli,Extant,23.03,20.44
Squalodon dalpiazi,Extant,15.97,13.82
Squalodon dalpiazi,Extant,20.44,15.97
Squalodon grateloupii,Extant,20.44,15.97
Squalodon grateloupii,Extant,23.03,5.333
Squalodon grateloupii,Extant,28.1,23.03
Squalodon hypsispondylus,Extant,28.1,23.03
Squalodon imperator,Extant,13.82,11.62
Squalodon linzianus,Extant,28.1,23.03
Squalodon melitensis,Extant,20.44,5.333
Squalodon melitensis,Extant,28.1,13.82
Squalodon meyeri,Extant,20.44,15.97
Squalodon molassicus,Extant,20.44,15.97
Squalodon peregrinus,Extant,23.03,20.44
Squalodon protervus,Extant,11.608,5.333
Squalodon protervus,Extant,15.97,13.82
Squalodon servatus,Extant,20.44,15.97
Squalodon tiedemani,Extant,13.82,11.62
Squalodon tiedemani,Extant,23.03,15.97
Squalodon vocontiorum,Extant,20.44,15.97
Squalodon whitmorei,Extant,13.82,11.62
Squalodon whitmorei,Extant,20.44,15.97
Squaloziphius emlongi,Extant,23.03,20.44
Stenella attenuata,Extant,0.0117,0
Stenella coeruleoalba,Extant,0.0117,0
Stenella frontalis,Extant,0.0117,0
Stenella longirostris,Extant,0.0117,0
Stenella rayi,Extant,5.333,3.6
Steno bredanensis,Extant,0.0117,0
Tursiops aduncus,Extant,0.0117,0
Tursiops brocchii,Extant,3.6,2.588
Tursiops brocchii,Extant,5.333,2.588
Tursiops capellinii,Extant,3.6,2.588
Tursiops capellinii,Extant,5.333,3.6
Tursiops osennae,Extant,1.806,0.781
Tursiops truncatus,Extant,0.0117,0
Tursiops truncatus,Extant,0.126,0.0117
Tursiops truncatus,Extant,1.806,0.781
Tursiops truncatus,Extant,2.588,0.0117
Tursiops truncatus,Extant,2.588,0.781
Tursiops truncatus gillii,Extant,0.0117,0
Xiphiacetus bossi,Extant,15.97,11.62
Xiphiacetus bossi,Extant,15.97,13.82
Xiphiacetus bossi,Extant,20.44,13.82
Xiphiacetus bossi,Extant,20.44,15.97
Xiphiacetus cristatus,Extant,11.608,2.588
Xiphiacetus cristatus,Extant,13.82,11.62
Xiphiacetus cristatus,Extant,15.97,11.62
Xiphiacetus cristatus,Extant,15.97,13.82
Xiphiacetus cristatus,Extant,20.44,11.62
Xiphiacetus cristatus,Extant,20.44,5.333
Xiphiacetus cristatus,Extant,23.03,5.333
